,Smiles,elu1_smiles,elu2_smiles,ratio1,ratio2,Rf,Rf_type,DataSource,doi
25,O=S(Cc1ccc(-c2ccccc2)cc1)c1ccccc1,CCCCCC,CCOC(C)=O,0.599747,0.400253,0.6,Q,D4C,10.1021/acs.orglett.3c03619
26,COc1ccc(CS(=O)c2ccccc2)cc1,CCCCCC,CCOC(C)=O,0.599747,0.400253,0.6,Q,D4C,10.1021/acs.orglett.3c03619
27,CSc1ccc(CS(=O)c2ccccc2)cc1,CCCCCC,CCOC(C)=O,0.599747,0.400253,0.6,Q,D4C,10.1021/acs.orglett.3c03619
28,O=S(Cc1ccc(F)cc1)c1ccccc1,CCCCCC,CCOC(C)=O,0.599747,0.400253,0.6,Q,D4C,10.1021/acs.orglett.3c03619
29,O=S(Cc1ccc(Cl)cc1)c1ccccc1,CCCCCC,CCOC(C)=O,0.599747,0.400253,0.6,Q,D4C,10.1021/acs.orglett.3c03619
30,O=S(Cc1ccc(C(F)(F)F)cc1)c1ccccc1,CCCCCC,CCOC(C)=O,0.599747,0.400253,0.6,Q,D4C,10.1021/acs.orglett.3c03619
31,O=S(Cc1ccc(OC(F)(F)F)cc1)c1ccccc1,CCCCCC,CCOC(C)=O,0.599747,0.400253,0.6,Q,D4C,10.1021/acs.orglett.3c03619
32,Cc1ccccc1CS(=O)c1ccccc1,CCCCCC,CCOC(C)=O,0.599747,0.400253,0.6,Q,D4C,10.1021/acs.orglett.3c03619
33,COc1ccccc1CS(=O)c1ccccc1,CCCCCC,CCOC(C)=O,0.599747,0.400253,0.6,Q,D4C,10.1021/acs.orglett.3c03619
34,O=S(Cc1ccccc1Br)c1ccccc1,CCCCCC,CCOC(C)=O,0.599747,0.400253,0.6,Q,D4C,10.1021/acs.orglett.3c03619
35,O=S(Cc1ccccc1-c1ccccc1)c1ccccc1,CCCCCC,CCOC(C)=O,0.599747,0.400253,0.6,Q,D4C,10.1021/acs.orglett.3c03619
